"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","15/15","0",0,"8","45,7","33%","33%",1
"OTEVŘENÁ RADNICE","15/15","0",11,"4","39,8","47%","13%",1024
"SDRUŽENÍ NESTRANÍKŮ","15/15","0",3,"12","44,1","40%","20%",181
"SDRUŽENÍ POLITICKÉ STRANY VOLBA PRO MĚSTO A NEZÁVISLÝCH KANDIDÁTŮ VOLBA PRO ČASTOLOVICE","15/15","3",0,"12","52,9","13%","0%",411
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","2",1,"4","61,5","13%","13%",47
"STRANA ZELENÝCH","15/15","0",8,"7","40,5","67%","67%",5
"TOP 09 S PODPOROU FOTBALISTŮ","15/15","0",4,"11","40,5","20%","33%",721
"ANO 2011","15/15","0",2,"13","35,7","47%","20%",768
"PROSPERITA PRO MĚSTYS","15/15","0",7,"8","46,5","80%","27%",901
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ ČASTOLOVICE","15/15","0",10,"5","45,7","60%","53%",902
