"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","3",0,"9","45,5","33%","67%",1
"SNK EVROPŠTÍ DEMOKRATÉ","21/21","1",2,"9","51,7","19%","19%",129
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","3",0,"10","55,9","5%","5%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","5",0,"4","52,9","38%","67%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","3",3,"11","49,5","29%","38%",7
"TOP 09","3/21","0",0,"0","35,7","33%","33%",721
"ANO 2011","21/21","0",2,"19","40,4","29%","24%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","21/21","0",8,"13","38,1","48%","10%",792
"JIŘÍ STEJSKAL, NEZÁVISLÝ KANDIDÁT","1/21","0",0,"0","55","0%","0%",801
"MORAVANÉ","21/21","3",0,"14","44,6","10%","29%",83
"NEZÁVISLÍ - ZMĚNA PRO DAČICE","21/21","0",10,"11","46,7","48%","33%",88
