"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","27/27","45,6","67%","48%","0",0,1
"VOLBA PRO MĚSTO","27/27","50,1","33%","59%","5",2,113
"ZELENÁ PRO PÍSEK","24/27","47,2","33%","71%","0",9,364
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","60","15%","22%","4",0,47
"PÍSECKÝ PATRIOTI - REPUBLIKA","27/27","43,8","30%","44%","0",8,508
"OBČANSKÁ DEMOKRATICKÁ STRANA","27/27","43,5","30%","41%","4",1,53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","48,2","37%","52%","7",0,7
"STRANA SVOBODNÝCH OBČANŮ","27/27","37,7","37%","7%","0",1,714
"ČESKÁ PIRÁTSKÁ STRANA","27/27","29,4","19%","30%","0",4,720
"TOP 09","27/27","44,5","22%","78%","3",4,721
"STRANA PRÁV OBČANŮ","10/27","53,1","30%","30%","0",0,724
"""JIHOČEŠI 2012""","27/27","48","26%","81%","0",12,766
"ANO 2011","27/27","43,4","19%","26%","0",5,768
