"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","19/19","1",0,"9","44","47%","47%",1
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI","1/19","0",0,"0","19","0%","0%",156
"STAROSTOVÉ A NEZÁVISLÍ","19/19","0",11,"8","52,8","42%","26%",166
"FAIR PLAY - HNPD","19/19","0",4,"15","43,3","42%","32%",167
"KOMUNISTICKÁ STRANA ČECH A MORAVY","19/19","2",0,"6","63,9","53%","5%",47
"STRANA ZELENÝCH - JSME OSTRAVA","19/19","0",10,"9","54,9","37%","37%",5
"OBČANSKÁ DEMOKRATICKÁ STRANA","19/19","6",0,"8","49,7","53%","47%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","19/19","5",0,"11","46,4","37%","53%",7
"OSTRAVAK","19/19","0",8,"11","46,7","26%","32%",755
"NEZÁVISLÍ","19/19","1",3,"7","55,7","53%","37%",88
