"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","31/31","3",1,"20","51,9","39%","32%",1
"OBČANÉ MĚSTU ZNOJMU","31/31","0",14,"17","45,2","55%","23%",1108
"ZMĚNA ZNOJMO S PODPOROU NEZÁVISLÝCH KANDIDÁTŮ A PIRÁTŮ","31/31","0",8,"23","42,4","35%","58%",1109
"""SDRUŽENÍ NESTRANÍKŮ""","31/31","3",4,"20","54,7","45%","68%",158
"KOMUNISTICKÁ STRANA ČECH A MORAVY","31/31","5",0,"8","57,5","35%","19%",47
"PRO ZNOJMO","31/31","0",8,"23","43,3","29%","52%",470
"SPOLEČNĚ PRO ZNOJMO","31/31","0",14,"17","44,4","39%","23%",483
"OBČANSKÁ DEMOKRATICKÁ STRANA","31/31","8",0,"21","47,9","29%","26%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","31/31","9",0,"16","44,4","29%","29%",7
"ANO 2011","31/31","0",2,"29","38,3","35%","32%",768
