"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","27/27","44,4","22%","67%","0",1,1
"REPUBLIKA","13/27","51,8","31%","31%","0",1,1002
"OBČANÉ PRO LOCHOTÍN","27/27","47,3","52%","37%","0",3,1014
"OBČANÉ PATRIOTI","27/27","47,6","41%","78%","0",5,1022
"PLZEŇ PRO SPORT","27/27","36","41%","11%","0",0,1033
"SPOLEČNĚ ZA PLZEŇ-KOALICE PLZEŇSKÉ ALIANCE, PIRÁTI, ZMĚNA, STAN A SZ","27/27","41,6","26%","59%","0",4,1084
"PRAVÁ VOLBA PRO PLZEŇ (PVP)","27/27","46,4","44%","67%","2",0,111
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","57,6","19%","26%","3",0,47
"OBČANSKÁ DEMOKRATICKÁ STRANA","27/27","42,5","37%","15%","8",0,53
"ZMĚNA PRO PLZEŇ","25/27","48,6","56%","40%","0",0,557
"VEŘEJNÉ ZÁJMY PLZNĚ S PODPOROU INICIATIVY ZA LEVNĚJŠÍ MHD, SPOLKU P-FANS A ÚSVIT","27/27","56,2","37%","30%","0",1,565
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","47,2","19%","41%","8",0,7
"STRANA SVOBODNÝCH OBČANŮ","27/27","33,9","15%","67%","0",0,714
"TOP 09","27/27","39,3","19%","70%","4",0,721
"ANO 2011","27/27","41","30%","63%","0",0,768
