"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","15/15","2",0,"7","49,5","40%","47%",112
"UNIE PRO SPORT A ZDRAVÍ","15/15","2",0,"6","46,9","20%","7%",119
"MĚSTO LIDEM","15/15","2",0,"5","50,9","27%","13%",147
"STAROSTOVÉ A NEZÁVISLÍ","15/15","0",4,"11","47,9","47%","53%",166
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","2",1,"3","56,9","47%","7%",47
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","2",0,"9","53,5","40%","27%",7
"""OBČANÉ MĚSTU, MĚSTO OBČANŮM""","15/15","0",2,"13","43","27%","13%",734
"NEZÁVISLÍ","15/15","0",2,"13","42,7","53%","20%",88
"""ŠLUKNOVSKÉ KRÁLOVSTVÍ""","15/15","0",7,"8","41,8","20%","27%",901
"HASIČI","15/15","0",8,"7","45,6","20%","20%",902
