"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"HRADEČTÍ PATRIOTI STRANA PRO SPORT, ZDRAVÍ A KULTURU","37/37","0",1,"36","37,6","30%","32%",1016
"HRADECKÝ DEMOKRATICKÝ KLUB","37/37","0",28,"9","52,8","24%","62%",1049
"OTEVŘENÁ RADNICE PRO HRADEC KRÁLOVÉ S ÚSVITEM PŘÍMÉ DEMOKRACIE","37/37","0",6,"31","36,5","27%","14%",1090
"VOLBA PRO MĚSTO","37/37","4",1,"17","48,1","27%","68%",113
"KOALICE PRO HRADEC","37/37","0",17,"20","48","24%","70%",339
"KOMUNISTICKÁ STRANA ČECH A MORAVY","37/37","5",0,"9","57,3","38%","19%",47
"STAROSTOVÉ A NEZÁVISLÍ PRO HRADEC KRÁLOVÉ (STANHK) - NAŠE MĚSTO, NAŠE VĚC","37/37","0",4,"33","42,4","41%","57%",470
"HRADEC NÁŠ DOMOV","37/37","0",7,"30","43,6","30%","24%",509
"ZMĚNA PRO HRADEC A STRANA ZELENÝCH S PODPOROU PIRÁTŮ","37/37","0",20,"17","43,1","27%","78%",521
"OBČANSKÁ DEMOKRATICKÁ STRANA","37/37","6",2,"19","41,7","14%","73%",53
"DOMA V HRADCI","37/37","2",0,"32","38,8","38%","41%",555
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","37/37","8",1,"20","47,5","11%","68%",7
"STRANA SVOBODNÝCH OBČANŮ (SVOBODNÍ)","37/37","0",11,"26","37,9","22%","62%",714
"TOP 09","37/37","4",0,"20","45","22%","62%",721
"ANO 2011","37/37","0",2,"35","44","35%","46%",768
