"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"SMĚR - ČESKÁ CESTA","25/25","0",3,"22","39,2","44%","0%",1035
"SPOLEHNUTÍ - SPOLEČNÉ HNUTÍ ČESKOLIPANŮ","25/25","0",9,"16","46,6","40%","32%",1047
"UNIE PRO SPORT A ZDRAVÍ","25/25","0",0,"0","47,4","32%","32%",119
"ZELENÍ A NEZÁVISLÍ","25/25","0",16,"9","57","64%","44%",364
"KOMUNISTICKÁ STRANA ČECH A MORAVY","25/25","3",0,"14","52,7","28%","4%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","25/25","5",0,"16","45,2","24%","40%",53
"UDĚLÁME POŘÁDEK V ČESKÉ LÍPĚ","25/25","0",1,"24","44","36%","28%",559
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","25/25","7",0,"15","51,4","44%","32%",7
"STAROSTOVÉ PRO LIBERECKÝ KRAJ","25/25","2",1,"12","43,6","40%","48%",703
"STRANA SVOBODNÝCH OBČANŮ","25/25","0",0,"0","33,5","28%","20%",714
"ČESKÁ PIRÁTSKÁ STRANA","25/25","0",5,"20","39,7","56%","16%",720
"TOP 09","25/25","3",2,"12","44,4","24%","52%",721
"LEV 21 - NÁRODNÍ SOCIALISTÉ","19/25","0",0,"0","40","53%","0%",764
"ANO 2011","25/25","0",0,"0","41,8","36%","32%",768
