"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","35/35","2",0,"18","49,6","37%","66%",1
"PÉVÉČKO","35/35","0",3,"32","43","26%","49%",1020
"KOMUNISTICKÁ STRANA ČECH A MORAVY","35/35","5",0,"19","57,3","40%","20%",47
"TOP 09 A NEZÁVISLÍ PROSTĚJOVANÉ","35/35","0",20,"15","49,6","34%","69%",495
"ZMĚNA PRO PROSTĚJOV","35/35","0",13,"22","47","20%","49%",529
"OBČANSKÁ DEMOKRATICKÁ STRANA","35/35","8",0,"24","41,4","34%","51%",53
"KORUNA ČESKÁ (MONARCHISTICKÁ STRANA ČECH, MORAVY A SLEZSKA)","11/35","0",0,"5","63,6","55%","9%",55
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","35/35","14",0,"13","53,9","34%","60%",7
"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA","35/35","0",0,"0","50,3","40%","6%",736
"ANO 2011","35/35","0",6,"29","42,6","23%","49%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","35/35","0",4,"31","44,5","26%","40%",792
"MORAVANÉ","35/35","0",9,"26","49,1","29%","26%",83
