"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"STRANA ZDRAVÉHO ROZUMU","27/27","0",12,"15","50,6","44%","52%",137
"KDU-ČSL A NEZÁVISLÍ - PRO ŠUMPERK","27/27","0",19,"8","44,9","19%","70%",355
"NEZÁVISLÁ VOLBA","27/27","8",0,"8","51,1","15%","74%",461
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","4",0,"16","55,8","41%","26%",47
"PATRIOTI PRO ŠUMPERK","22/27","0",1,"21","48","14%","14%",509
"OBČANSKÁ DEMOKRATICKÁ STRANA","27/27","3",2,"18","47,9","26%","52%",53
"SDRUŽENÍ PRO-REGION A PIRÁTI","27/27","0",1,"26","46,3","30%","70%",541
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","6",1,"15","53,7","22%","48%",7
"STRANA SVOBODNÝCH OBČANŮ","7/27","0",0,"0","38,3","43%","86%",714
"TOP 09","27/27","0",7,"20","39,1","37%","37%",721
"STRANA PRÁV OBČANŮ","13/27","0",0,"0","53,3","77%","15%",724
"ANO 2011","27/27","0",0,"0","42,1","22%","33%",768
