"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","37/37","2",2,"17","47","22%","68%",1
"ZELENÍ A PIRÁTI JIHLAVA","37/37","0",15,"22","39","49%","51%",1066
"FORUM JIHLAVA","37/37","0",5,"32","46,4","35%","0%",449
"KOMUNISTICKÁ STRANA ČECH A MORAVY","37/37","7",1,"12","54,8","27%","27%",47
"SPOLEČNĚ PRO JIHLAVU","37/37","0",8,"29","42,6","35%","41%",509
"ZMĚNA PRO JIHLAVU","13/37","0",0,"0","44,8","15%","23%",510
"OBČANSKÁ DEMOKRATICKÁ STRANA","37/37","10",2,"20","50,4","27%","62%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","37/37","11",0,"15","50,9","16%","57%",7
"STRANA SVOBODNÝCH OBČANŮ","37/37","0",3,"34","40,1","22%","19%",714
"TOP 09","37/37","4",1,"20","41,9","27%","68%",721
"ANO 2011","37/37","0",3,"34","44,8","27%","59%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","37/37","0",0,"0","42","22%","8%",792
