"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ZDRAVÉ KROMĚŘÍŽSKO","27/27","0",13,"14","42","52%","59%",364
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","4",0,"11","55,3","30%","33%",47
"VOLBA PRO KROMĚŘÍŽ","27/27","3",2,"9","52,7","44%","70%",470
"TOP 09 PRO KROMĚŘÍŽ I MÍSTNÍ ČÁSTI","27/27","0",9,"18","35,6","37%","48%",480
"OBČANSKÁ DEMOKRATICKÁ STRANA","27/27","5",0,"15","52,2","30%","52%",53
"KOALICE KDU-ČSL, ZVUK 12 A NEZÁVISLÍ","27/27","0",16,"11","45,8","33%","59%",572
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","6",0,"11","50,6","33%","59%",7
"STRANA PRÁV OBČANŮ","27/27","0",7,"20","44","44%","15%",724
"ANO 2011","27/27","0",4,"23","47,7","22%","81%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","27/27","0",3,"24","42,9","63%","15%",792
"ROMSKÁ DEMOKRATICKÁ STRANA","25/27","0",0,"0","34,4","32%","0%",794
"MORAVANÉ","27/27","0",0,"22","37,9","44%","19%",83
