"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","55/55","6",0,"27","46,3","25%","67%",1
"ANTIBURSÍK - STOP EKOTERORU !","1/55","0",0,"0","38","0%","100%",1001
"STAROSTOVÉ A NEZÁVISLÍ","55/55","0",7,"48","43,8","29%","51%",166
"KONZERVATIVNÍ STRANA","31/55","0",7,"24","53,1","29%","61%",24
"""A CO BRNO?""","55/55","0",6,"49","43,1","24%","47%",463
"MORAVANÉ PRO BRNO","55/55","0",10,"45","54,1","27%","35%",464
"KOMUNISTICKÁ STRANA ČECH A MORAVY","55/55","4",0,"33","53,3","18%","44%",47
"STRANA ZELENÝCH","55/55","3",0,"39","43,8","49%","85%",5
"REPUBLIKA PRO BRNO","55/55","0",3,"52","45,3","49%","25%",508
"OBČANSKÁ DEMOKRATICKÁ STRANA","55/55","14",0,"39","46,2","18%","71%",53
"ŽÍT BRNO S PODPOROU PIRÁTŮ","55/55","0",6,"49","39,9","22%","69%",558
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI - ZA ZACHOVÁNÍ NÁDRAŽÍ V CENTRU","20/55","0",8,"12","39,4","15%","15%",600
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","55/55","19",0,"34","43,7","31%","67%",7
"STRANA SVOBODNÝCH OBČANŮ","55/55","0",0,"52","35,7","13%","64%",714
"TOP 09","55/55","9",1,"31","44,4","20%","64%",721
"ANO 2011","55/55","0",1,"54","49,2","29%","75%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","55/55","0",0,"0","39,4","56%","22%",792
