"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ S PODPOROU DEMOKRATŮ JANA KASLA","35/35","0",16,"19","51,1","37%","60%",1
"OBČANSKÁ KONZERVATIVNÍ STRANA","4/35","0",0,"0","40,2","25%","25%",1006
"DOMOV","35/35","0",1,"34","45,6","34%","11%",155
"ZELENÁ PRO PRAHU 2 - STRANA ZELENÝCH S PODPOROU PIRÁTŮ A SNK-ED","35/35","0",12,"23","43,3","43%","71%",364
"KOMUNISTICKÁ STRANA ČECH A MORAVY","33/35","0",0,"12","68,5","45%","18%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","35/35","11",0,"21","42,9","29%","60%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","35/35","6",0,"17","53","37%","57%",7
"STRANA SVOBODNÝCH OBČANŮ","35/35","0",3,"32","38,4","23%","37%",714
"TOP 09","35/35","8",1,"18","44,9","26%","49%",721
"ANO 2011","35/35","0",0,"0","43,2","29%","60%",768
"ROMSKÁ DEMOKRATICKÁ STRANA (RDS)","1/35","0",0,"0","50","0%","0%",794
"OBČANÉ ZA SPOKOJENÉ BYDLENÍ (OSB)","35/35","8",1,"19","51","34%","71%",901
