"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"NOVÝ SEVER","35/35","0",5,"30","40,3","14%","40%",1017
"OTEVŘENÁ RADNICE","35/35","0",2,"33","43,7","49%","11%",1024
"UNIE PRO SPORT A ZDRAVÍ","35/35","0",4,"31","46","51%","14%",119
"NESPOKOJENÍ OBČANÉ!","35/35","3",1,"22","51,2","60%","29%",197
"PRO CHOMUTOV","35/35","8",1,"13","45,9","46%","63%",364
"KOMUNISTICKÁ STRANA ČECH A MORAVY","35/35","6",0,"17","55,1","0%","14%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","35/35","6",0,"20","46,3","26%","31%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","35/35","8",0,"14","48,1","31%","51%",7
"STRANA SVOBODNÝCH OBČANŮ","35/35","0",1,"34","35,4","31%","26%",714
"TOP 09","35/35","2",1,"29","39","34%","71%",721
"ČESKÁ SUVERENITA","35/35","0",2,"33","44,2","60%","0%",759
"ANO 2011","35/35","0",3,"32","43,9","34%","60%",768
"NE BRUSELU - NÁRODNÍ DEMOKRACIE","8/35","0",0,"0","20,9","25%","0%",79
