"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","39/39","3",2,"12","47,2","33%","62%",1
"ZELENÁ PRO OPAVU","39/39","0",24,"15","38,2","49%","59%",364
"HNUTÍ NEZÁVISLÍ - ENERGIE","39/39","0",5,"34","46,1","36%","41%",401
"MORAVANÉ A SLEZANÉ","22/39","0",1,"21","45,5","55%","14%",464
"KOMUNISTICKÁ STRANA ČECH A MORAVY","39/39","5",0,"18","57,9","28%","18%",47
"ZMĚNA PRO OPAVU","39/39","0",17,"22","43,7","26%","59%",510
"OPAVANÉ - NEZÁVISLÍ, OBČANÉ, PIRÁTI","39/39","0",19,"20","43,2","33%","46%",526
"OBČANSKÁ DEMOKRATICKÁ STRANA","39/39","9",1,"16","48,9","13%","74%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","39/39","11",0,"30","49,2","26%","59%",7
"TOP 09","39/39","0",1,"33","43,1","59%","59%",721
"STRANA PRÁV OBČANŮ","39/39","0",9,"30","43,7","21%","23%",724
"ANO 2011","39/39","0",7,"32","39,6","28%","72%",768
"ROMSKÁ DEMOKRATICKÁ STRANA","15/39","0",1,"14","42,2","53%","7%",794
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ STAROSTOVÉ A OBČANÉ MĚSTSKÝCH ČÁSTÍ STATUTÁRNÍHO MĚSTA OPAVY","39/39","0",1,"38","42,4","26%","49%",901
