"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","33/33","0",0,"15","52,4","0%","52%",1
"NÁRODNÍ KONGRES - STOP UBYTOVNÁM PRO NEPŘIZPŮSOBIVÉ","33/33","0",2,"31","46,2","0%","12%",1089
"KOALICE HNUTÍ ÚSVIT PŘÍMÉ DEMOKRACIE A HNUTÍ OTEVŘENÁ RADNICE","33/33","0",5,"28","42,5","0%","6%",1090
"KOMUNISTICKÁ STRANA ČECH A MORAVY","33/33","4",0,"10","53,5","0%","18%",47
"LEPŠÍ KLADNO A STAROSTOVÉ","33/33","0",5,"28","44,5","0%","33%",470
"STRANA ZELENÝCH","14/33","0",4,"10","40,3","0%","50%",5
"OBČANSKÁ DEMOKRATICKÁ STRANA","33/33","13",0,"16","42","0%","61%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","33/33","8",0,"18","43,5","0%","39%",7
"STRANA SVOBODNÝCH OBČANŮ","33/33","0",0,"0","36,1","0%","12%",714
"TOP 09","33/33","2",0,"26","42,6","0%","45%",721
"VOLBA PRO KLADNO","33/33","6",1,"18","46,1","0%","45%",727
"ANO 2011","33/33","0",0,"0","51,5","0%","30%",768
