"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","9/9","2",0,"8","38,3","44%","11%",1
"KOMUNISTICKÁ STRANA ČECH A MORAVY","7/9","0",0,"0","42,6","14%","0%",47
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","9/9","2",1,"6","41,2","56%","22%",7
"TOP 09","9/9","2",0,"1","56","22%","44%",721
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - PRO MERKLÍN","9/9","0",3,"6","49,2","33%","11%",901
"SDRUŽENÍ ZOOM 1 - ZÁZEMÍ OBČANŮ OBCE MERKLÍN","9/9","0",4,"5","40,6","44%","11%",902
"SDRUŽENÍ ZOOM - ZÁZEMÍ OBČANŮ OBCE MERKLÍN","9/9","0",0,"0","36,7","33%","0%",903
"MERKLÍN PRO ŽIVOT - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ","9/9","0",4,"5","42,2","44%","44%",904
"SDRUŽENÍ PRO ROZVOJ MERKLÍNA","9/9","0",5,"4","43","22%","22%",905
"ZA DALŠÍ ROZVOJ MERKLÍNA","9/9","0",2,"7","55,7","67%","22%",906
