"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/15","48","33%","38%","1",1,1
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/15","48","33%","38%","2",1,1
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/15","68,6","19%","14%","1",0,47
"OBČANSKÁ DEMOKRATICKÁ STRANA (ODS)","21/15","48,6","14%","33%","5",2,53
"OBČANSKÁ DEMOKRATICKÁ STRANA (ODS)","21/15","48,6","14%","33%","1",2,53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/15","51,1","33%","38%","3",0,7
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/15","51,1","33%","38%","1",0,7
"""JIHOČEŠI 2012""","5/21","46,6","0%","20%","0",3,766
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ LIŠOVSKO I","15/15","39,3","27%","53%","4",0,901
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ LIŠOVSKO II","6/21","42,8","33%","33%","2",1,902
