"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KARLOVARÁCI","35/35","0",13,"22","49,5","23%","43%",1028
"PRO SVOBODNÉ VARY","35/35","0",4,"31","35","14%","31%",1070
"KONGRES NÁRODNÍCH SIL - ZA NÁRODNÍ KARLOVY VARY!","9/35","0",1,"8","27,3","11%","0%",1072
"HNUTÍ O CO JIM JDE?! S PODPOROU KDU-ČSL, PIRÁTŮ, STRANY ZELENÝCH A LÁDI GERENDÁŠE","35/35","0",27,"8","46,7","20%","57%",1091
"STAROSTOVÉ A NEZÁVISLÍ","35/35","0",18,"17","49,1","34%","57%",166
"KARLOVARSKÁ OBČANSKÁ ALTERNATIVA","35/35","8",0,"6","55,6","31%","57%",182
"KOMUNISTICKÁ STRANA ČECH A MORAVY","35/35","4",0,"18","63,3","31%","11%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","35/35","7",0,"18","48,7","17%","37%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","35/35","7",0,"24","45,7","31%","51%",7
"ALTERNATIVA","35/35","0",11,"24","47,5","40%","46%",702
"TOP 09","35/35","4",2,"19","46","23%","49%",721
"ANO 2011","35/35","0",1,"34","44,5","31%","29%",768
