"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"PRO OBČANY A OBEC","15/15","0",4,"11","32,3","33%","13%",901
"ZA ČISTOTU OBCE","15/15","3",2,"8","45","60%","0%",902
"NEZÁVISLÍ KANDIDÁTI","15/15","0",7,"8","45,1","27%","0%",903
"ZA OBEC KRÁSNĚJŠÍ","15/15","4",1,"11","53,1","20%","0%",904
"MODERNÍ OBEC","15/15","0",6,"9","43,4","47%","7%",905
"SPOLEK PRO MLADÉ","15/15","0",1,"14","34,5","33%","7%",906
"DEJME ŠANCI MLADÝM","15/15","0",1,"14","40,9","40%","0%",907
"NEZÁVISLÁ STRANA","15/15","0",7,"8","42,3","33%","0%",908
"OBČANÉ SOBĚ BLÍŽ","15/15","0",3,"12","50,8","47%","7%",909
"SPRAVEDLIVÁ OBEC","15/15","0",5,"10","41,3","73%","7%",910
"PRO DĚTI A MLÁDEŽ","15/15","0",2,"13","34,3","40%","0%",911
