"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ÚSTECKÉ FÓRUM OBČANŮ","27/27","0",3,"24","41,9","22%","41%",1012
"ČISTÉ ÚSTÍ","27/27","0",6,"21","42,7","33%","19%",1021
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","3",0,"16","53,1","41%","7%",47
"SEVEROČEŠI ÚSTÍ NAD LABEM","27/27","0",6,"21","50,2","37%","11%",518
"OBČANSKÁ DEMOKRATICKÁ STRANA","27/27","7",0,"12","49,4","19%","81%",53
"PRO!  ÚSTÍ","27/27","0",7,"20","43","48%","44%",562
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","7",0,"16","56,7","22%","52%",7
"TOP 09","27/27","4",0,"22","39","48%","52%",721
"ANO 2011","27/27","0",2,"25","44,1","26%","30%",768
"PRO SPORT A ZDRAVÍ","27/27","0",16,"11","51,1","26%","48%",785
"ÚSTEČANÉ","27/27","0",1,"26","44","37%","30%",796
