"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"SPOLEČNOST PROTI DEVELOPERSKÉ VÝSTAVBĚ V PROKOPSKÉM ÚDOLÍ","45/45","0",0,"0","42,9","51%","18%",1041
"RESTART 2014","45/45","0",4,"41","43,6","49%","20%",1052
"HNUTÍ OBČANŮ PRAHY","45/45","0",1,"44","45,2","42%","16%",1056
"DOMOV","45/45","0",1,"44","45","53%","16%",155
"KDU-ČSL A NEZÁVISLÍ","45/45","0",26,"19","47,2","47%","53%",355
"KOMUNISTICKÁ STRANA ČECH A MORAVY","45/45","2",0,"15","66,4","33%","44%",47
"STRANA ZELENÝCH","45/45","3",0,"24","44,9","49%","71%",5
"OBČANÉ PRO PRAHU 5","44/45","0",3,"41","49,4","32%","18%",508
"SDRUŽENÍ NEZÁVISLÝCH OBČANŮ PRAHY 5, SNOP-5","45/45","0",8,"37","51,3","40%","33%",517
"OBČANSKÁ DEMOKRATICKÁ STRANA","45/45","10",0,"33","45,5","24%","49%",53
"PATRIOTI PRAHY 5 A DEMOKRATÉ JANA KASLA","45/45","0",4,"41","45,6","58%","38%",560
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","45/45","9",0,"42","50,2","44%","31%",7
"STRANA SVOBODNÝCH OBČANŮ","45/45","0",0,"44","39,9","20%","24%",714
"ČESKÁ PIRÁTSKÁ STRANA","24/45","0",5,"19","43,8","42%","21%",720
"TOP 09","45/45","15",2,"34","41,9","33%","49%",721
"KONZERVATIVNÍ ALIANCE 2014","45/45","0",3,"42","41,4","47%","18%",749
"ANO 2011","45/45","0",3,"42","43,4","40%","51%",768
"PRO PRAHU","45/45","0",3,"42","41,4","22%","38%",791
"ROMSKÁ DEMOKRATICKÁ STRANA","2/45","0",0,"0","44","0%","0%",794
