"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","15/15","2",0,"7","51,9","20%","53%",1
"STAROSTOVÉ A NEZÁVISLÍ","15/15","0",5,"10","45,7","27%","40%",166
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","1",0,"10","54,9","20%","7%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","1",1,"8","48,4","27%","33%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","3",0,"9","45,8","20%","13%",7
"ÚSVIT PŘÍMÉ DEMOKRACIE","2/15","0",0,"0","52,5","100%","0%",792
"ZLATÉ HORY - NÁŠ DOMOV","15/15","0",2,"13","42,5","20%","20%",901
"""NEZÁVISLÍ 2014""","15/15","0",12,"3","47,9","33%","27%",902
"PROZLATOHORSKO","15/15","0",1,"14","38,7","100%","7%",903
"""NOVÉ ZLATOHORSKO""","15/15","0",3,"12","48,6","53%","33%",904
