"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","0",0,"0","57,1","33%","48%",1
"PODPORA OBČANŮ","21/21","0",2,"19","44,8","33%","48%",1030
"VOLBA PRO MĚSTO","21/21","0",4,"17","42,9","24%","5%",113
"SDRUŽENÍ NESTRANÍKŮ","21/21","0",6,"15","41,7","19%","52%",158
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","2",0,"12","66,7","0%","14%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","0",11,"10","48,8","24%","38%",53
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI - ZA PRÁVA OBČANŮ","4/21","0",0,"0","59,5","0%","0%",600
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","3",4,"12","55,2","38%","24%",7
"STRANA SVOBODNÝCH OBČANŮ","5/21","0",0,"0","34,4","20%","20%",714
"TOP 09","21/21","4",1,"11","46,2","33%","71%",721
"PRO SPORT A ZDRAVÍ","21/21","0",3,"18","46,4","24%","38%",785
"NAŠE  DVOJMĚSTÍ","21/21","0",4,"17","43,6","38%","52%",901
"NEZÁVISLÍ 2014 Z.S.","21/21","0",8,"13","42,1","43%","62%",902
"ODPOVĚDNOST A KOMUNIKACE, Z.S.","19/21","0",0,"0","40,9","53%","21%",903
