"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"OBČANSKÁ KONZERVATIVNÍ STRANA","31/31","0",8,"23","45,6","32%","3%",1006
"STRANA ZELENÝCH S PODPOROU PIRÁTŮ","31/31","0",17,"14","46,1","42%","55%",1066
"PRO PRAHU A KDU-ČSL","31/31","0",0,"0","43,3","55%","58%",1075
"DOMOV","23/31","0",0,"0","50,5","22%","17%",155
"KOMUNISTICKÁ STRANA ČECH A MORAVY","31/31","2",0,"17","57,7","29%","3%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","31/31","9",0,"23","44,2","39%","48%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","31/31","7",0,"16","53,6","29%","45%",7
"STRANA SVOBODNÝCH OBČANŮ","31/31","0",2,"20","41,7","35%","42%",714
"TOP 09","31/31","9",4,"14","44,5","42%","61%",721
"KONZERVATIVNÍ ALIANCE 2014","31/31","0",4,"27","44,3","45%","42%",749
"ANO 2011","31/31","0",1,"30","40,2","42%","42%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","31/31","0",8,"23","48,6","48%","13%",792
