"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","21/21","0",14,"7","45,8","24%","57%",112
"SOS PRO FRÝDLANT","21/21","3",2,"10","44,7","24%","33%",407
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","3",0,"6","51,5","19%","19%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","4",0,"9","49,4","29%","29%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","20/21","3",1,"3","45,1","20%","10%",7
"STAROSTOVÉ PRO LIBERECKÝ KRAJ","21/21","0",3,"18","40,8","48%","52%",703
"TOP 09","21/21","2",1,"11","47,4","57%","33%",721
"ANO 2011","21/21","0",0,"0","44,5","38%","19%",768
"FRÝDLANT SOBĚ","21/21","0",6,"15","43","33%","43%",901
"ZA LEPŠÍ FRÝDLANT","21/21","0",1,"20","39","29%","19%",902
