"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"VOLBA PRO MĚSTO","21/21","3",0,"10","42,2","24%","43%",113
"SNK EVROPŠTÍ DEMOKRATÉ","21/21","2",1,"7","52,1","19%","38%",129
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","1",0,"11","62,9","33%","0%",47
"ŠANCE PRO DVŮR","21/21","0",11,"10","46,9","29%","62%",479
"OBČANÉ PRO LEPŠÍ ŽIVOTNÍ PODMÍNKY VE DVOŘE KRÁLOVÉ N/L A STRANA PRÁV OBČANŮ","10/21","0",0,"0","48,1","30%","0%",483
"REPUBLIKA PRO DVŮR KRÁLOVÉ NAD LABEM","21/21","0",4,"17","37,5","52%","10%",508
"KRÁLOVÉDVORŠTÍ  PATRIOTI","21/21","0",1,"20","42,8","29%","33%",522
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","5",1,"7","47,4","19%","29%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","6",1,"7","49,3","14%","38%",7
"TOP 09","21/21","3",1,"4","40,3","14%","57%",721
"ANO 2011","21/21","0",2,"19","41,1","29%","57%",768
"VÝCHODOČEŠI-ŠANCE PRO DVŮR KRÁLOVÉ NAD LABEM","21/21","0",0,"0","49,1","29%","52%",770
