"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","4",1,"9","42,8","48%","48%",1
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","1",0,"6","67,5","52%","14%",47
"STRANA PRÁV OBČANŮ, SPOLU PRO STRÁŽNICI","21/21","0",10,"11","48,6","0%","14%",483
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","3",0,"9","42,5","38%","57%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","2",0,"10","44,9","48%","33%",7
"TOP 09","14/21","0",1,"13","38,8","36%","14%",721
"SNK - SPRONK","21/21","0",15,"6","39,8","29%","38%",901
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - STRÁŽNIČANÉ","21/21","1",1,"7","41","48%","38%",902
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - HASIČI STRÁŽNICE","21/21","0",3,"18","33,2","14%","10%",903
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - PRO STRÁŽNICI","21/21","0",15,"6","42,3","33%","38%",904
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ","21/21","4",3,"8","48","10%","62%",905
