"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","27/27","0",0,"8","59,5","37%","22%",1
"OTEVŘENÁ RADNICE","27/27","0",11,"16","52,6","15%","7%",1024
"MODERNÍ SPOLEČNOST","27/27","0",0,"0","44,4","63%","22%",1063
"PROZMĚNU","27/27","0",7,"20","42","26%","41%",1065
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","5",0,"10","60,2","30%","22%",47
"BRUNTÁL 2014","27/27","0",15,"12","45,3","37%","70%",470
"OBČANSKÁ DEMOKRATICKÁ STRANA","27/27","3",0,"8","49,7","41%","30%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","7",0,"10","55,3","26%","67%",7
"TOP 09","27/27","2",0,"10","44,6","33%","15%",721
"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA","27/27","0",0,"12","53,6","7%","15%",736
"ANO 2011","27/27","0",3,"24","45,7","44%","44%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","27/27","0",3,"24","43,9","41%","7%",792
"NEZÁVISLÍ","27/27","0",0,"19","45,7","48%","11%",88
