"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"OBČANSKÉ HNUTÍ MŮJ DOMOV","30/30","0",1,"29","36,1","47%","23%",1015
"KDU-ČSL PRO SPORT A ZDRAVÍ","30/30","0",2,"28","48,4","47%","37%",355
"KOMUNISTICKÁ STRANA ČECH A MORAVY","30/30","2",0,"9","59,7","37%","7%",47
"''DOMOV NAD NISOU''","30/30","0",17,"13","50,5","50%","50%",475
"ZMĚNA PRO JABLONEC","30/30","0",4,"26","43,4","50%","43%",510
"OBČANSKÁ DEMOKRATICKÁ STRANA","30/30","9",0,"11","49,3","27%","43%",53
"NOVÁ BUDOUCNOST PRO JABLONEC","30/30","0",13,"17","48,1","53%","53%",550
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","30/30","5",0,"18","45,7","40%","30%",7
"ČESKÁ PIRÁTSKÁ STRANA","30/30","0",0,"25","33","23%","27%",720
"TOP 09","30/30","4",2,"14","47","20%","50%",721
"STRANA PRÁV OBČANŮ","30/30","0",4,"26","47,6","27%","20%",724
"ANO 2011","30/30","0",0,"0","44,5","30%","33%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","30/30","0",0,"0","49,3","30%","17%",792
