"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","2",3,"2","48,9","38%","57%",1
"POLITICKÉ HNUTÍ OBRODA","21/21","0",10,"11","43,3","24%","43%",1013
"KOALICE TOP09 A ZELENÝCH PRO TÝN A OKOLÍ","21/21","0",7,"14","39,6","24%","24%",1093
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI","21/21","0",0,"8","46,3","33%","5%",156
"STAROSTOVÉ A NEZÁVISLÍ","21/21","0",12,"9","49","48%","48%",166
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","2",0,"6","69,9","14%","24%",47
"TEJŇÁCI","21/21","0",8,"13","44,9","5%","19%",525
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","3",0,"6","46,1","29%","43%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","2",1,"8","46,8","29%","33%",7
"STRANA SVOBODNÝCH OBČANŮ","21/21","2",0,"5","44,9","10%","14%",714
"NEZÁVISLÍ","21/21","1",0,"17","51,8","14%","24%",88
