"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"SNK EVROPŠTÍ DEMOKRATÉ","15/15","2",2,"6","40,3","27%","13%",129
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","3",0,"9","58,1","47%","7%",47
"PRO ROZVOJ TEREZÍNA","15/15","0",6,"9","46,6","7%","20%",470
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","3",1,"7","44,3","27%","13%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","0",4,"11","45,1","33%","0%",7
"ANO 2011","15/15","0",1,"14","44,5","40%","0%",768
"ŽENY TEREZÍNSKA","15/15","3",0,"5","49","100%","13%",901
"ZMĚNA PRO TEREZÍN","14/15","0",1,"13","38,3","36%","7%",902
"PRO OBCE A TEREZÍN","15/15","0",3,"12","48,1","27%","7%",903
"""NADĚJE PRO TEREZÍN""","15/15","0",5,"10","44,2","40%","33%",904
