"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","27/27","3",0,"8","49,8","30%","67%",1
"""SDRUŽENÍ NESTRANÍKŮ""","27/27","0",7,"20","46,9","44%","56%",158
"OBČANŠTÍ DEMOKRATÉ A NEZÁVISLÉ OSOBNOSTI","27/27","0",14,"13","45,7","15%","74%",389
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","3",0,"9","60,9","19%","41%",47
"KRUH","27/27","0",13,"14","53,1","52%","78%",511
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","7",0,"14","45,6","26%","52%",7
"TOP 09","27/27","0",10,"17","45,9","19%","52%",721
"STRANA PRÁV OBČANŮ","27/27","0",0,"0","45","56%","44%",724
"ZDRAVÉ HRADIŠTĚ","27/27","3",0,"23","47,1","48%","33%",752
"ANO 2011","27/27","0",0,"0","37,3","37%","56%",768
