"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","25/25","0",10,"15","53,8","44%","52%",1
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI","11/25","0",4,"7","59,8","27%","0%",156
"STRANA ZELENÝCH A NEZÁVISLÍ","25/25","0",8,"17","54,2","48%","40%",364
"ZMĚNA  PRO PŘÍBRAM - VOLBA PRO MĚSTO","25/25","0",13,"12","51,2","36%","64%",411
"KOMUNISTICKÁ STRANA ČECH A MORAVY","25/25","4",1,"16","56,7","36%","24%",47
"ŠANCE PRO PŘÍBRAM","25/25","0",8,"17","42,4","32%","28%",470
"OTEVŘENÁ RADNICE S PODPOROU HNUTÍ ÚSVIT PŘÍMÉ DEMOKRACIE","25/25","0",15,"10","52,2","36%","32%",525
"OBČANSKÁ DEMOKRATICKÁ STRANA","25/25","0",15,"10","55,7","12%","36%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","25/25","11",0,"7","49,3","24%","40%",7
"ČESKÁ PIRÁTSKÁ STRANA","17/25","0",0,"0","27,3","29%","0%",720
"TOP 09","25/25","3",0,"15","38,7","40%","68%",721
"ANO 2011","25/25","0",4,"21","50,7","40%","60%",768
