"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"PRO REGIONY OBČANŮM","23/23","0",8,"15","46,7","30%","48%",1062
"SNK EVROPŠTÍ DEMOKRATÉ","23/23","3",2,"13","44","35%","30%",129
"STAROSTOVÉ A NEZÁVISLÍ","23/23","0",11,"12","50,1","30%","61%",166
"ZELENÍ PRO!KRAJ","23/23","0",5,"18","41,5","35%","26%",364
"KOMUNISTICKÁ STRANA ČECH A MORAVY","23/23","4",0,"6","55","35%","26%",47
"OTEVŘENÁ RADNICE","23/23","0",9,"14","40,9","26%","57%",525
"OBČANSKÁ DEMOKRATICKÁ STRANA","23/23","3",0,"20","35","52%","17%",53
"OBČANÉ S VIZÍ - VOLBA PRO MĚSTO LITVÍNOV S PODPOROU PIRÁTSKÉ STRANY","23/23","0",0,"0","43,1","39%","22%",548
"SDRUŽENÍ LITVÍNOVÁCI","23/23","0",5,"18","49,3","52%","13%",549
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","23/23","4",1,"7","51,7","30%","26%",7
"TOP 09","23/23","1",0,"22","39","35%","35%",721
"ANO 2011","23/23","0",0,"0","43,3","39%","57%",768
