"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","5",2,"7","46,8","19%","57%",1
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","2",1,"7","61,8","10%","19%",47
"STAROSTOVÉ A NEZÁVISLÍ PRO VSETÍN","21/21","0",8,"13","49,4","29%","81%",470
"KOALICE PRO OTEVŘENÝ VSETÍN","21/21","0",7,"14","36,3","14%","43%",529
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","5",0,"6","48,1","24%","67%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","4",0,"8","47","29%","62%",7
"STRANA SVOBODNÝCH OBČANŮ","6/21","0",0,"0","27,8","17%","50%",714
"TOP 09","21/21","2",0,"13","43,7","19%","38%",721
"ANO 2011","21/21","0",9,"12","47,6","19%","62%",768
"MORAVANÉ","4/21","0",0,"0","48,8","100%","25%",83
