"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","3",0,"6","41,3","14%","62%",1
"KOMUNISTICKÁ STRANA ČECH A MORAVY A NEZÁVISLÍ","21/21","0",12,"9","63,4","24%","24%",387
"NEZÁVISLÁ VOLBA","21/21","1",1,"12","45,3","29%","48%",461
"ZÁBŘEH PRO VŠECHNY","21/21","0",6,"15","30,4","33%","38%",488
"STRANA ZELENÝCH","21/21","0",3,"18","46,3","48%","33%",5
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","1",1,"8","41,7","19%","38%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","3",4,"6","53,6","24%","57%",7
"STRANA SVOBODNÝCH OBČANŮ","21/21","0",16,"5","49,9","33%","48%",714
"ANO 2011","21/21","0",8,"13","48,6","52%","38%",768
"ÚSVIT PŘÍMÉ DEMOKRACIE","13/21","0",0,"0","41,6","38%","0%",792
"NEZÁVISLÍ","21/21","0",16,"5","48,3","33%","33%",88
