"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ A NESTRANÍCI","17/17","0",11,"6","48,4","41%","29%",355
"DEMOKRATÉ ROSIC","17/17","1",1,"13","40,9","35%","18%",449
"NEZÁVISLÍ PRO ROSICE","17/17","3",2,"7","46,6","18%","24%",451
"KOMUNISTICKÁ STRANA ČECH A MORAVY","17/17","3",0,"5","58,4","35%","35%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","17/17","2",0,"6","47,3","29%","35%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/17","2",1,"7","47,5","47%","40%",7
"TOP 09","17/17","1",0,"8","45,4","47%","41%",721
"ANO 2011","17/17","0",3,"14","36,5","29%","41%",768
"ROSICE - OČIMA SENIORŮ","17/17","0",0,"0","64,4","94%","6%",901
"ROSICE NAŠIMA OČIMA","17/17","0",10,"7","41,9","47%","29%",902
