"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","2",0,"5","51,9","38%","24%",1
"VĚCI VEŘEJNÉ","21/21","2",0,"9","48,1","33%","14%",144
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","2",0,"9","66,1","24%","5%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","3",1,"17","34,5","29%","24%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","2",4,"16","46,1","38%","29%",7
"TOP 09","21/21","3",0,"10","42,6","14%","29%",721
"ANO 2011","21/21","0",0,"0","39,1","29%","57%",768
"MORAVANÉ","21/21","0",0,"14","53,2","43%","24%",83
"NEZÁVISLÍ","21/21","7",3,"5","51,5","48%","38%",88
"MOHELNICKÁ DEMOKRACIE","21/21","0",4,"17","47,6","24%","52%",901
