"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","1",0,"6","51,2","52%","43%",1
"STAROSTOVÉ A NEZÁVISLÍ","21/21","0",6,"15","46,4","29%","19%",166
"NEZÁVISLÍ S PODPOROU ODS","21/21","0",12,"9","49","19%","14%",389
"ŽDK - ŽAMBERSKÁ DEMOKRATICKÁ KOALICE","21/21","0",15,"6","47,7","43%","52%",457
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","1",0,"5","67","33%","19%",47
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","3",0,"9","52,7","33%","38%",7
"STRANA SVOBODNÝCH OBČANŮ","21/21","0",2,"19","39,9","10%","14%",714
"TOP 09","21/21","1",0,"16","37,6","33%","33%",721
"ANO 2011","21/21","0",2,"19","41,3","33%","33%",768
"NEZÁVISLÍ","21/21","0",6,"15","47","29%","19%",88
