"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"ÚSTECKÉ FÓRUM OBČANŮ","15/15","0",5,"10","49,9","20%","27%",1012
"POLITICKÉ HNUTÍ OBRODA","15/15","0",1,"14","41,3","60%","0%",1013
"ČISTÉ ÚSTÍ","15/15","0",3,"12","44,9","20%","13%",1021
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","2",0,"7","65,8","53%","7%",47
"SEVEROČEŠI ÚSTÍ NAD LABEM","15/15","0",8,"7","42,9","60%","13%",518
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","3",0,"11","39,2","40%","33%",53
"PRO! ÚSTÍ","15/15","0",3,"12","36,4","33%","33%",562
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","4",2,"5","46,8","13%","40%",7
"STRANA SVOBODNÝCH OBČANŮ","15/15","0",0,"0","36,3","7%","13%",714
"TOP 09","15/15","2",0,"9","42,8","7%","67%",721
"ANO 2011","15/15","0",2,"13","44,3","20%","47%",768
"PRO SPORT A ZDRAVÍ","15/15","0",7,"8","46,3","33%","60%",785
"ÚSTEČANÉ","15/15","0",2,"13","44,7","27%","47%",796
