"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","25/25","2",0,"11","52,5","44%","40%",1
"""SDRUŽENÍ NESTRANÍKŮ""","25/25","0",17,"8","48,5","16%","24%",158
"STAROSTOVÉ A NEZÁVISLÍ","25/25","0",11,"14","50,1","24%","24%",166
"KOMUNISTICKÁ STRANA ČECH A MORAVY","25/25","5",0,"9","60,2","44%","24%",47
"TOP 09 A NEZÁVISLÍ KANDIDÁTI","25/25","0",18,"7","41,4","44%","52%",480
"OBČANSKÁ DEMOKRATICKÁ STRANA","25/25","5",2,"8","47","32%","40%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","25/25","4",6,"11","49,2","48%","44%",7
"ANO 2011","20/25","0",13,"7","42,5","20%","35%",768
"ŽENY PRO MIKULOV","25/25","1",0,"9","45,4","100%","24%",901
"SDRUŽENÍ PODNIKATELŮ MĚSTA MIKULOVA","25/25","0",4,"13","41,6","20%","0%",902
"MIKULOVŠTÍ","22/25","0",3,"19","32,4","27%","50%",903
