"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","23/25","0",8,"15","52,3","52%","22%",1
"VOLBA PRO MĚSTO","25/25","0",5,"20","45,9","56%","40%",113
"STAROSTOVÉ A NEZÁVISLÍ","25/25","0",2,"23","50","12%","28%",166
"SOS PRO NOVÝ BYDŽOV","25/25","4",2,"6","50,5","32%","28%",407
"KOMUNISTICKÁ STRANA ČECH A MORAVY","25/25","1",0,"11","59,8","48%","20%",47
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ A TOP 09","25/25","0",9,"16","41,7","16%","40%",480
"ZMĚNA PRO NOVÝ BYDŽOV","22/25","0",5,"17","41,6","23%","32%",510
"OBČANSKÁ DEMOKRATICKÁ STRANA","25/25","6",1,"4","52,4","24%","44%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","25/25","4",1,"8","47,7","20%","52%",7
"STRANA SVOBODNÝCH OBČANŮ","23/25","0",1,"17","27","26%","30%",714
"ANO 2011","25/25","0",1,"24","32,2","32%","20%",768
"NEZÁVISLÍ","25/25","5",0,"11","56","8%","56%",88
