"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","15/15","4",1,"5","48,3","53%","33%",1
"VOLBA PRO MĚSTO","15/15","0",9,"4","41,3","20%","7%",113
"SNK EVROPŠTÍ DEMOKRATÉ","15/15","0",14,"1","50,2","33%","67%",129
"""SDRUŽENÍ NESTRANÍKŮ""","15/15","2",3,"1","49,5","20%","20%",158
"NESTRANÍCI","15/15","2",2,"3","47,4","13%","40%",181
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","1",0,"5","64","33%","13%",47
"NEZÁVISLÍ 2014","15/15","0",3,"12","42,1","20%","13%",470
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","1",3,"8","48","33%","53%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","1",0,"10","49,1","33%","33%",7
"ČESKÁ PIRÁTSKÁ STRANA","15/15","0",0,"0","30,4","13%","7%",720
"MORAVANÉ","15/15","0",6,"9","52,5","33%","0%",83
