"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","25/25","1",1,"11","51,2","28%","44%",1
"OBČANÉ JESENICKU","25/25","0",12,"13","35,6","28%","44%",364
"NEZÁVISLÍ - JESENÍK","25/25","3",2,"13","46,6","16%","32%",461
"KOMUNISTICKÁ STRANA ČECH A MORAVY","25/25","2",0,"12","64,4","24%","20%",47
"""PRO JESENÍK""","25/25","0",10,"15","39,1","32%","48%",470
"OBČANSKÁ DEMOKRATICKÁ STRANA","25/25","4",0,"14","47,4","16%","44%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","25/25","7",2,"12","53,6","36%","60%",7
"STRANA SVOBODNÝCH OBČANŮ","25/25","2",0,"7","49,2","20%","72%",714
"TOP 09","25/25","2",4,"14","42,6","32%","40%",721
"ANO 2011","25/25","0",3,"22","42,7","36%","28%",768
