"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","1",0,"13","48,9","67%","24%",1
"SNK EVROPŠTÍ DEMOKRATÉ","21/21","3",8,"6","42,9","24%","29%",129
"ZELENÁ PRO ROZVOJ MĚSTA ALBRECHTIC","17/21","0",3,"14","44,1","29%","53%",364
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","6",2,"5","51,1","38%","10%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","3",3,"8","48","24%","29%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","2",3,"11","47,9","43%","19%",7
"TOP 09","21/21","0",2,"12","39,7","14%","19%",721
"ANO 2011","21/21","0",3,"18","36,1","67%","10%",768
"ALBRECHTICKÁ UNIE SPORTU","21/21","0",5,"16","36,9","33%","5%",901
"STRANA NEZÁVISLÁ 2014","21/21","0",9,"12","37,7","67%","10%",902
