"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","8/7","0",1,"7","40,5","25%","0%",1
"MAGDA VÍTOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","48","100%","0%",801
"MICHAL ŠTĚRBA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","31","0%","100%",802
"DUŠAN ÚJEZDSKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","37","0%","0%",803
"PAVEL FRIEDRICH, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","35","0%","0%",804
"JIŘÍ FRIEDRICH, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","36","0%","0%",805
"JIŘÍ ŠTĚRBA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","59","0%","0%",806
"RADIM HOVJACKÝ, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","42","0%","100%",807
"MICHAL AUJESKÝ, NEZÁVISLÝ KANDIDÁT","1/7","1",0,"0","31","0%","100%",808
"KAMIL ALEXA, NEZÁVISLÝ KANDIDÁT","1/7","0",0,"0","42","0%","0%",809
"SPRÁVNÝ SMĚR - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ","6/7","0",1,"5","48,8","33%","0%",901
