"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","0",14,"7","56,8","43%","43%",1
"""SDRUŽENÍ NESTRANÍKŮ""","21/21","0",2,"19","39,1","33%","19%",158
"KONZERVATIVNÍ STRANA","2/21","0",0,"0","60,5","0%","50%",24
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","2",1,"8","49,7","24%","29%",47
"ČERNOVICE","21/21","1",0,"10","43,8","71%","57%",470
"ČERNOVIČTÍ PATRIOTI","21/21","0",9,"12","43,4","43%","48%",488
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","5",1,"9","42,8","24%","57%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","7",0,"10","44,2","38%","29%",7
"TOP 09","21/21","3",0,"10","39,6","52%","76%",721
"ANO 2011","21/21","0",0,"0","45,9","62%","19%",768
