"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"MĚSTO LIDEM","23/23","2",3,"15","46","17%","39%",147
"SDRUŽENÍ PRO MĚSTO RUMBURK","23/23","0",6,"17","46,3","61%","17%",449
"KOMUNISTICKÁ STRANA ČECH A MORAVY","23/23","2",0,"11","56,1","43%","13%",47
"REPUBLIKA PRO RUMBURK","23/23","0",6,"17","53,7","48%","9%",508
"OBČANSKÁ DEMOKRATICKÁ STRANA","23/23","5",2,"8","52,1","17%","65%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","23/23","9",2,"15","44,5","39%","35%",7
"STRANA SVOBODNÝCH OBČANŮ","4/23","0",0,"0","39,2","25%","75%",714
"TOP 09","23/23","2",0,"12","42,7","39%","35%",721
"ANO 2011","23/23","0",2,"21","44,1","26%","39%",768
"RUMBURÁCI.CZ","23/23","0",15,"8","46","22%","26%",901
"SDRUŽENÍ RUMBURK 2014-NOVÁ NADĚJE","23/23","0",1,"22","48","17%","26%",902
