"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","15/15","1",0,"7","44,6","47%","67%",1
"VOLBA PRO MĚSTO","15/15","2",1,"7","44,2","33%","40%",113
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","2",0,"5","61,4","40%","20%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","2",0,"4","43,9","20%","27%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","3",0,"13","45,9","27%","0%",7
"STRANA PRÁV OBČANŮ","15/15","0",0,"0","38,5","67%","7%",724
"ANO 2011","15/15","0",4,"11","44,2","47%","33%",768
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ","15/15","2",3,"3","45,6","27%","33%",901
"NEZÁVISLÉ SDRUŽENÍ OBČANŮ ADAMOVA","15/15","2",1,"6","46,3","47%","33%",902
"A.N.F. - ADAMOVSKÉ NEZÁVISLÉ FÓRUM","15/15","0",11,"4","48,2","27%","13%",903
