"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","2",1,"14","39","19%","48%",1
"PIRÁTI A ZMĚNA PRO KOPŘIVNICI","21/21","0",3,"18","40,5","33%","48%",1060
"SDRUŽENÍ NEZÁVISLÝCH KOPŘIVNICE","21/21","2",0,"9","51,5","48%","52%",449
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","3",0,"11","57","29%","24%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","6",1,"8","47,7","38%","71%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","5",4,"10","49,1","24%","48%",7
"TOP 09","21/21","1",1,"14","35,2","38%","29%",721
"ANO 2011","21/21","0",3,"18","47,4","24%","48%",768
"PRO SPORT A ZDRAVÍ","21/21","0",10,"11","42,5","19%","38%",785
"NEZÁVISLÍ","21/21","1",3,"12","53,3","33%","24%",88
