"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"OBČANSKÁ KONZERVATIVNÍ STRANA","45/45","0",3,"42","42,6","40%","18%",1006
"JIŽNÍ MĚSTO - NÁŠ DOMOV","45/45","0",12,"33","42,6","40%","31%",1009
"DOMOV","34/45","0",0,"0","51","35%","15%",155
"HNUTÍ PRO PRAHU 11","45/45","9",2,"23","49","27%","60%",195
"KOMUNISTICKÁ STRANA ČECH A MORAVY","45/45","3",0,"22","63,5","36%","29%",47
"STAN PRAHA 11","45/45","0",4,"41","44,5","51%","49%",470
"STRANA ZELENÝCH","45/45","0",0,"26","40,7","38%","38%",5
"NAŠE PRAHA 11 - S PODPOROU PEJSKAŘŮ A OBČANŮ PRAHY 11","45/45","0",5,"40","50,1","44%","16%",524
"OBČANSKÁ DEMOKRATICKÁ STRANA","45/45","11",1,"25","42,9","44%","29%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","45/45","7",2,"33","51,3","29%","49%",7
"STRANA SVOBODNÝCH OBČANŮ","45/45","0",1,"42","33,9","27%","51%",714
"TOP 09","45/45","7",0,"26","44,8","42%","76%",721
"ANO 2011","45/45","0",0,"0","44,8","27%","71%",768
"PRO PRAHU","45/45","0",13,"32","49,5","44%","20%",791
"INICIATIVA OBČANŮ","45/45","0",5,"40","48,3","36%","24%",86
