"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","11/37","0",0,"6","51,8","45%","27%",1
"ÚSTECKÉ FÓRUM OBČANŮ","37/37","0",7,"30","47,5","30%","57%",1012
"POLITICKÉ HNUTÍ OBRODA","37/37","0",3,"34","41,4","41%","5%",1013
"ČISTÉ ÚSTÍ","37/37","0",8,"29","41,7","30%","22%",1021
"KOMUNISTICKÁ STRANA ČECH A MORAVY","37/37","5",0,"15","55,8","41%","14%",47
"SEVEROČEŠI ÚSTÍ NAD LABEM","37/37","0",12,"25","42,4","49%","22%",518
"OBČANSKÁ DEMOKRATICKÁ STRANA","37/37","9",0,"24","47,6","32%","59%",53
"PRO! ÚSTÍ","37/37","0",14,"23","43,7","38%","65%",562
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","37/37","11",1,"10","51,8","19%","51%",7
"STRANA SVOBODNÝCH OBČANŮ","37/37","0",0,"0","33,9","11%","5%",714
"TOP 09","37/37","5",0,"30","42,7","24%","73%",721
"ANO 2011","37/37","0",2,"35","48","27%","54%",768
"PRO SPORT A ZDRAVÍ","37/37","0",19,"18","51,7","22%","81%",785
"ÚSTEČANÉ","37/37","0",7,"30","42,1","27%","38%",796
