"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","15/15","2",6,"6","41,8","47%","7%",1
"HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST","15/15","2",1,"11","48,1","60%","33%",112
"JINÁ CESTA","15/15","0",7,"8","47,1","40%","27%",427
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","3",0,"6","62,1","33%","0%",47
"NOVÁ CESTA","15/15","0",10,"5","44,1","40%","27%",470
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","1",1,"9","47,3","40%","0%",53
"STRANA SVOBODNÝCH OBČANŮ","15/15","0",2,"13","47,3","27%","20%",714
"STRANA SOUKROMNÍKŮ ČESKÉ REPUBLIKY","15/15","0",2,"13","47,9","27%","13%",716
"TOP 09","15/15","2",3,"4","52,9","53%","60%",721
"MĚSTO LIDEM","15/15","0",5,"10","40,3","27%","7%",901
