"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"NÁŠ DOMOV CHEB","30/30","0",16,"14","47,5","43%","30%",155
"SDRUŽENÍ OBČANSKÉ DEMOKRATICKÉ STRANY A NEZÁVISLÝCH KANDIDÁTŮ","30/30","0",19,"11","49,6","23%","50%",389
"KOMUNISTICKÁ STRANA ČECH A MORAVY","30/30","6",0,"5","57,3","27%","23%",47
"VPM - ALTERNATIVA","30/30","0",13,"17","45","20%","67%",476
"KOALICE PRO CHEB","30/30","0",23,"7","54,2","23%","57%",479
"KOALICE DSSS A SPE","29/30","0",9,"20","52,1","31%","10%",600
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","30/30","9",1,"14","44,3","27%","47%",7
"STRANA SVOBODNÝCH OBČANŮ (SVOBODNÍ)","30/30","0",13,"17","43,9","33%","53%",714
"TOP 09","30/30","2",0,"21","37","33%","37%",721
"ANO 2011","28/30","0",0,"0","43,5","39%","36%",768
"KOALICE MOJE MĚSTO","23/30","0",0,"0","41,7","26%","9%",774
