"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","0",1,"11","45,7","48%","48%",1
"VOLBA PRO MĚSTO","21/21","0",5,"16","37","33%","33%",113
"SNK EVROPŠTÍ DEMOKRATÉ","21/21","0",0,"0","52,9","24%","24%",129
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","3",0,"5","66,8","38%","24%",47
"TOP 09 A NEZÁVISLÍ","21/21","0",8,"13","38,9","38%","67%",480
"OBČANSKÁ DEMOKRATICKÁ STRANA","20/21","3",0,"9","50,5","25%","40%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","2",2,"10","52,5","38%","43%",7
"STRANA SVOBODNÝCH OBČANŮ","15/21","0",0,"0","36,4","20%","13%",714
"ANO 2011","21/21","0",2,"19","48,8","33%","52%",768
"SPOLEČNĚ PRO ROUDNICI N. L.","21/21","0",13,"8","45,6","29%","43%",901
