"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","21/21","2",1,"15","50,7","52%","43%",1
"RESTART","21/21","0",1,"20","30,8","43%","48%",1051
"KONZERVATIVNÍ STRANA","1/21","0",0,"0","42","0%","0%",24
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","2",0,"7","60","24%","24%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","4",2,"7","49,3","24%","52%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","6",1,"10","52,3","29%","48%",7
"STRANA SVOBODNÝCH OBČANŮ","21/21","0",3,"18","42,8","29%","19%",714
"TOP 09","21/21","2",0,"11","42,4","33%","33%",721
"ANO 2011","21/21","0",3,"18","41,8","38%","43%",768
"NEZÁVISLÍ","21/21","0",9,"12","49","24%","38%",88
"PRO PRACHATICE","21/21","4",2,"12","45,9","19%","43%",901
"M.O.S.T. PRACHATICE","21/21","0",10,"11","43,1","43%","57%",902
