"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"REPUBLIKA PRO VARNSDORF","21/21","0",1,"20","43,6","62%","0%",1002
"VOLBA PRO MĚSTO","21/21","0",4,"17","47,3","24%","33%",113
"SNK EVROPŠTÍ DEMOKRATÉ","21/21","0",0,"13","52,9","71%","57%",129
"AKTIV NEZÁVISLÝCH OBČANŮ","9/21","0",1,"8","36,3","33%","0%",132
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI","21/21","0",0,"17","48,5","19%","0%",156
"PRO! VARNSDORF","21/21","0",8,"13","42","43%","52%",456
"KOMUNISTICKÁ STRANA ČECH A MORAVY","21/21","4",0,"6","54","19%","14%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","21/21","5",1,"9","47,7","19%","24%",53
"NÁŠ VARNSDORF","21/21","0",2,"19","37,8","14%","48%",541
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","21/21","5",1,"7","57","24%","67%",7
"TOP 09","21/21","1",0,"12","38,5","33%","43%",721
"STRANA PRÁV OBČANŮ - ZMĚNA PRO VARNSDORF A STUDÁNKU","21/21","0",5,"16","45,3","52%","33%",724
"ČESKÁ SUVERENITA","21/21","0",8,"13","39,8","62%","43%",759
"ANO 2011","21/21","0",7,"14","47,5","10%","48%",768
"PRO SPORT A ZDRAVÍ","21/21","0",14,"7","45,1","43%","19%",785
