"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"PARDUBICE PRO LIDI A SOUKROMNÍCI","15/15","0",1,"14","46,9","33%","33%",1073
"KOALICE PRO PARDUBICE (KDU-ČSL A NESTRANÍCI)","15/15","1",0,"7","38,9","47%","47%",339
"SDRUŽENÍ PRO PARDUBICE","15/15","3",0,"5","54,7","60%","60%",449
"KOMUNISTICKÁ STRANA ČECH A MORAVY","15/15","1",0,"7","60,3","27%","33%",47
"TOP 09 A NEZÁVISLÍ","9/15","0",0,"0","42,3","33%","56%",480
"PATRIOTI PARDUBIC","15/15","0",3,"12","46,7","40%","33%",522
"OBČANSKÁ DEMOKRATICKÁ STRANA","15/15","4",0,"7","54,1","47%","73%",53
"NAŠE PARDUBICE - ""NECHCEME VÁM VLÁDNOUT, CHCEME S VÁMI SPOLUPRACOVAT""","12/15","0",1,"11","46,8","33%","42%",537
"PARDUBÁCI","15/15","2",0,"9","37,1","27%","27%",538
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","15/15","4",0,"9","52,3","27%","40%",7
"ANO 2011","15/15","0",1,"14","48,5","40%","40%",768
