"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"OTEVŘENÁ RADNICE","23/29","0",0,"0","40,6","57%","57%",1024
"RESTART 2014","29/29","0",5,"24","47","38%","31%",1052
"DOMOV","29/29","0",7,"22","48","41%","24%",155
"KOMUNISTICKÁ STRANA ČECH A MORAVY","29/29","1",0,"10","66,8","59%","17%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","29/29","9",0,"16","46,7","41%","38%",53
"KOALICE PRO 7: STRANA ZELENÝCH, PIRÁTI, SNK EVROPŠTÍ DEMOKRATÉ A NEZÁVISLÍ","29/29","0",10,"19","42","31%","62%",574
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","29/29","5",0,"16","48","38%","17%",7
"STRANA SVOBODNÝCH OBČANŮ","29/29","0",7,"22","41,8","28%","41%",714
"TOP 09","29/29","8",0,"21","35,1","21%","55%",721
"ANO 2011","29/29","0",2,"27","53,2","34%","55%",768
"PRO PRAHU","29/29","0",2,"27","41,7","34%","21%",791
"LIBERÁLNĚ EKOLOGICKÁ STRANA","16/29","0",1,"15","42,2","38%","62%",795
"PRAHA 7 SOBĚ","29/29","0",10,"19","40,1","34%","66%",901
