"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"KŘESŤANSKÁ A DEMOKRATICKÁ UNIE - ČESKOSLOVENSKÁ STRANA LIDOVÁ","27/27","0",1,"17","54,7","26%","44%",1
"SDRUŽENÍ PRO KLATOVY - SNK EVROPŠTÍ DEMOKRATÉ","27/27","0",16,"11","47,7","19%","44%",129
"NESTRANÍCI","27/27","3",0,"13","47,9","37%","56%",181
"KOMUNISTICKÁ STRANA ČECH A MORAVY","27/27","4",0,"12","57,7","26%","37%",47
"KLATOVŠTÍ PATRIOTI - SDRUŽENÍ DSZ A NK","27/27","0",0,"0","38,8","48%","4%",482
"OBČANSKÁ DEMOKRATICKÁ STRANA","27/27","7",1,"7","50","11%","52%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","27/27","5",0,"9","52,9","44%","48%",7
"TOP 09","27/27","3",2,"11","45,9","19%","56%",721
"KONZERVATIVNÍ ALIANCE 2014","24/27","0",1,"23","50,4","46%","8%",749
"ANO 2011","17/27","0",1,"16","48,7","18%","53%",768
