"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"DĚLNICKÁ STRANA SOCIÁLNÍ SPRAVEDLNOSTI - ZA BEZPEČNÝ HABARTOV!","1/17","0",0,"0","22","100%","0%",1072
"DOMOV","17/17","0",7,"10","63,6","59%","18%",155
"KOMUNISTICKÁ STRANA ČECH A MORAVY","17/17","2",0,"7","64,2","24%","6%",47
"OBČANSKÁ DEMOKRATICKÁ STRANA","17/17","6",1,"12","46,6","35%","41%",53
"ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ","17/17","4",1,"7","52,1","29%","12%",7
"STRANA SVOBODNÝCH OBČANŮ","14/17","0",1,"13","35,4","43%","0%",714
"ANO 2011","17/17","0",0,"0","41,6","53%","29%",768
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - NEZÁVISLÍ","17/17","0",6,"11","42","24%","18%",901
"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ PRO HABARTOV","17/17","0",7,"10","49","53%","53%",902
"NEZÁVISLÍ HABARTOVA","17/17","0",9,"8","42,4","59%","6%",903
